MATR_ALUNO;COD_CURSO;CURSO;NOME_CURSO;COD_ATIV_CURRIC;NOME_ATIV_CURRIC;MEDIA_FINAL;DESCR_SITUACAO_1;ANO;DESCR_PERIODO;SITUACAO_ITEM;PERIODIZADO;FORMA_INGRESSO;PSELETIVO;COTA;ANO_INGRESSO;EXP_PROG;REPET;IEM012;IEM011;SEXO;IDADE;NU_NOTA_L;NU_NOTA_CH;NU_NOTA_CN;NU_NOTA_M;NU_NOTA_R;MedEnem;CR;N_LOGINS;N_TESTES;N_SUBMISSOES;N_EX_CORRETOS;N_EX_NCORRETOS;TOTAL_TEMPO_IDE_SEG
21750632;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;7,6;Aprovado;2017; 1° Semestre;1;yes;PSC - AC (Ampla Concorrência);PSC;AC;2017;yes;0;0;1,65;F;18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;4,521666667;61;142;163;74;0;19685
21750095;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;7,92;Aprovado;2017; 1° Semestre;1;yes;PSC - AC (Ampla Concorrência);PSC;AC;2017;yes;0;0,22;5;M;18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;5,558333333;122;310;275;83;1;29726
21751273;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;2,35;Reprovado por Nota;2017; 1° Semestre;2;yes;PSC - NDC1 (Esc. Pub., Renda até 1.5);PSC;Renda;2017;no;0;0,22;0,64;F;17;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;1,871666667;65;325;209;65;1;34276
21754475;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;9,69;Aprovado;2017; 1° Semestre;1;yes;SISU - AC (Ampla Concorrência);SISU;AC;2017;no;0;1,18;5,56;F;18;573,9;598,2;543,2;707,2;840;652,5;6,713333333;216;1849;363;87;0;99705
21751920;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;6,85;Aprovado;2017; 1° Semestre;1;yes;PSC - PPI2 (Esc. Pub., Independe Renda);PSC;NRenda;2017;no;0;0,11;1,44;F;17;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;4,483333333;112;905;339;87;0;95316
21752744;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;5,87;Aprovado;2017; 1° Semestre;1;yes;SISU - PPI1 (Esc. Pub., Renda até 1.5);SISU;Renda;2017;yes;0;0,84;4,65;M;17;591,8;651,6;556,9;652,1;660;622,48;4,69;109;0;1;1;0;0
21753645;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;1,97;Reprovado por Nota;2017; 1° Semestre;2;yes;SISU - PPI2 (Esc. Pub., Independe Renda);SISU;NRenda;2017;yes;0;0;0,06;M;27;597,2;592,8;623,7;660,3;540;602,8;2,061666667;51;399;213;38;6;32990
21753544;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;2,34;Reprovado por Nota;2017; 1° Semestre;2;yes;SISU - PPI1 (Esc. Pub., Renda até 1.5);SISU;Renda;2017;no;0;0;0,96;F;17;593,2;623,2;573,5;558,5;740;617,68;1,833333333;159;2;4;1;1;0
21752742;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;7,63;Aprovado;2017; 1° Semestre;1;yes;SISU - AC (Ampla Concorrência);SISU;AC;2017;no;0;6,16;9,92;M;20;605,2;726,4;670,8;654,7;760;683,42;6,38;70;251;202;85;0;19818
21754316;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;8,82;Aprovado;2017; 1° Semestre;1;yes;SISU - PPI2 (Esc. Pub., Independe Renda);SISU;NRenda;2017;no;0;0,11;4,5;M;17;554,9;542,5;569,6;606,4;640;582,68;5,1;101;603;220;68;4;64910
21754476;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;7,82;Aprovado;2017; 1° Semestre;1;yes;SISU - AC (Ampla Concorrência);SISU;AC;2017;no;0;0,78;5,97;M;18;638,4;630,2;644,1;617,1;560;617,96;6,393333333;158;744;246;83;0;53851
21750629;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;8,05;Aprovado;2017; 1° Semestre;1;yes;PSC - AC (Ampla Concorrência);PSC;AC;2017;no;0;4,04;9,55;F;17;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;7,525;93;643;266;85;0;46667
21751922;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;0,13;Reprovado por Nota;2017; 1° Semestre;2;yes;PSC - PPI2 (Esc. Pub., Independe Renda);PSC;NRenda;2017;no;0;0;0,04;M;18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;2,878333333;37;234;145;29;3;24128
21751514;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;7,08;Aprovado;2017; 1° Semestre;1;yes;PSC - PPI1 (Esc. Pub., Renda até 1.5);PSC;Renda;2017;no;0;0;0,34;F;18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;1,065;88;105;90;50;1;7137
21750094;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;2,83;Reprovado por Nota;2017; 1° Semestre;2;yes;PSC - AC (Ampla Concorrência);PSC;AC;2017;yes;0;0,67;1,03;M;18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;1,96;28;91;115;31;1;11779
21750635;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;8,01;Aprovado;2017; 1° Semestre;1;yes;PSC - AC (Ampla Concorrência);PSC;AC;2017;no;0;0,89;5;M;18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;5,213333333;147;1065;396;85;0;64232
21751924;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;2,42;Reprovado por Nota;2017; 1° Semestre;2;yes;PSC - PPI2 (Esc. Pub., Independe Renda);PSC;NRenda;2017;no;0;0,11;0,65;F;19;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;2,118333333;97;291;270;77;0;36760
21750627;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;9,53;Aprovado;2017; 1° Semestre;1;yes;PSC - AC (Ampla Concorrência);PSC;AC;2017;no;0;4,41;8,47;F;17;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;7,426666667;128;724;248;86;1;75400
21751513;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;2,03;Reprovado por Nota;2017; 1° Semestre;2;yes;PSC - PPI1 (Esc. Pub., Renda até 1.5);PSC;Renda;2017;no;0;0,44;1,51;M;18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;3,821666667;66;295;148;49;2;20602
21751515;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;9,48;Aprovado;2017; 1° Semestre;1;yes;PSC - PPI1 (Esc. Pub., Renda até 1.5);PSC;Renda;2017;no;0;1,64;3,98;F;17;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;5,08;155;829;243;86;1;61731
21752743;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;9,22;Aprovado;2017; 1° Semestre;1;yes;SISU - PPI1 (Esc. Pub., Renda até 1.5);SISU;Renda;2017;no;0;0,11;5,9;M;17;610,8;655,2;592;727,8;580;633,16;5,181666667;226;620;297;85;0;53239
21750628;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;7,84;Aprovado;2017; 1° Semestre;1;yes;PSC - AC (Ampla Concorrência);PSC;AC;2017;no;0;1,98;4,19;M;18;619;592,7;635,8;769,6;580;639,42;5,953333333;48;186;146;72;1;15131
21750207;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;9,65;Aprovado;2017; 1° Semestre;1;yes;PSC - NDC2 (Esc. Pub., Independe Renda);PSC;NRenda;2017;no;0;0,89;5,02;M;18;591;658,1;551,7;523,8;560;576,92;5,155;130;404;331;80;0;31808
21754453;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;2,63;Reprovado por Nota;2017; 1° Semestre;2;yes;SISU - NDC2 (Esc. Pub., Independe Renda);SISU;NRenda;2017;no;0;0,22;1,51;F;17;554,8;513,4;507,3;557;620;550,5;4,645;42;170;153;62;2;19876
21751923;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;7,91;Aprovado;2017; 1° Semestre;1;yes;PSC - PPI2 (Esc. Pub., Independe Renda);PSC;NRenda;2017;no;0;0,67;6,12;M;18;523,4;520,2;446;430,9;440;472,1;5,258333333;88;252;247;82;1;22459
21752748;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;9,13;Aprovado;2017; 1° Semestre;1;yes;SISU - PPI1 (Esc. Pub., Renda até 1.5);SISU;Renda;2017;yes;0;1,42;8,15;M;19;559,1;593,8;570,9;602,8;780;621,32;5,993333333;138;948;516;72;0;49849
21750634;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;7,46;Aprovado;2017; 1° Semestre;1;yes;PSC - AC (Ampla Concorrência);PSC;AC;2017;yes;0;0,93;5,08;M;16;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;5,596666667;83;401;256;73;1;34588
21750630;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;1,5;Reprovado por Nota;2017; 1° Semestre;2;yes;PSC - AC (Ampla Concorrência);PSC;AC;2017;no;0;0,11;1,76;F;17;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;3,275;56;84;59;23;1;8424
21754478;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;1,77;Reprovado por Nota;2017; 1° Semestre;2;yes;SISU - AC (Ampla Concorrência);SISU;AC;2017;no;0;0,82;5,36;M;38;561;591,1;511;619,8;760;608,58;5,393333333;41;728;224;49;5;40543
21751921;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;6,85;Aprovado;2017; 1° Semestre;1;yes;PSC - PPI2 (Esc. Pub., Independe Renda);PSC;NRenda;2017;no;0;0;0,99;M;17;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;4,08;48;107;113;58;2;7984
21353244;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;10;Aprovado;2017; 1° Semestre;1;no;PSC - AC (Ampla Concorrência);PSC;AC;2013;yes;1;3,1;5,07;F;22;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;6,854181818;67;131;63;13;1;5987
21754479;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;3,83;Reprovado por Nota;2017; 1° Semestre;2;yes;SISU - AC (Ampla Concorrência);SISU;AC;2017;yes;0;0;1,11;M;19;572,9;566,1;578,3;608,2;660;597,1;4,046666667;548;1654;569;58;13;70654
21750631;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;7,48;Aprovado;2017; 1° Semestre;1;yes;PSC - AC (Ampla Concorrência);PSC;AC;2017;no;0;0;4,36;M;18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;5,42;128;481;188;75;3;34297
21754477;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;5;Aprovado;2017; 1° Semestre;1;yes;SISU - AC (Ampla Concorrência);SISU;AC;2017;no;0;0;5,32;M;18;611,6;632,1;561;539,4;740;616,82;5,003333333;94;1469;575;67;5;60494
21752762;FT11;FT11;Engenharia de Petróleo e Gás;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;6,12;Aprovado;2017; 1° Semestre;1;yes;SISU - PPI2 (Esc. Pub., Independe Renda);SISU;NRenda;2017;no;0;6,6;5,07;M;18;586,2;602,3;583,6;749,3;720;648,28;6,178333333;32;210;72;31;3;11706
21751524;FT11;FT11;Engenharia de Petróleo e Gás;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;7,32;Aprovado;2017; 1° Semestre;1;yes;PSC - PPI1 (Esc. Pub., Renda até 1.5);PSC;Renda;2017;no;0;0,37;1,78;M;18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;4,556666667;78;537;198;71;5;36660
21751933;FT11;FT11;Engenharia de Petróleo e Gás;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;8,39;Aprovado;2017; 1° Semestre;1;yes;PSC - PPI2 (Esc. Pub., Independe Renda);PSC;NRenda;2017;no;0;4,65;2,61;M;18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;5,82;124;475;475;84;0;41107
21753854;FT11;FT11;Engenharia de Petróleo e Gás;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;8,19;Aprovado;2017; 1° Semestre;1;yes;PSC - NDC2 (Esc. Pub., Independe Renda);PSC;NRenda;2017;yes;0;0,83;1,89;F;18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;4,913333333;49;313;214;71;2;30542
21750280;FT11;FT11;Engenharia de Petróleo e Gás;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;6,67;Aprovado;2017; 1° Semestre;1;yes;PSC - PPI1 (Esc. Pub., Renda até 1.5);PSC;Renda;2017;yes;0;0,1;0,11;M;18;523,8;521,5;493,1;412,9;520;494,26;3,473333333;95;442;318;87;0;34159
